EmployeeID,EmployeeName,Date,Time
1,John Smith,2026-01-01,08:00:00
1,John Smith,2026-01-01,17:00:00
2,Emma Johnson,2026-01-01,08:00:00
2,Emma Johnson,2026-01-01,17:00:00
1,John Smith,2026-01-02,08:00:00
1,John Smith,2026-01-02,17:00:00
2,Emma Johnson,2026-01-02,08:00:00
2,Emma Johnson,2026-01-02,17:00:00
1,John Smith,2026-01-03,08:00:00
1,John Smith,2026-01-03,17:00:00
2,Emma Johnson,2026-01-03,08:00:00
2,Emma Johnson,2026-01-03,17:00:00
1,John Smith,2026-01-04,09:00:00
1,John Smith,2026-01-04,16:00:00
2,Emma Johnson,2026-01-04,09:00:00
2,Emma Johnson,2026-01-04,16:00:00
2,Emma Johnson,2026-01-05,08:00:00
2,Emma Johnson,2026-01-05,17:00:00
1,John Smith,2026-01-06,08:00:00
1,John Smith,2026-01-06,17:00:00
2,Emma Johnson,2026-01-06,08:00:00
2,Emma Johnson,2026-01-06,17:00:00
1,John Smith,2026-01-07,08:00:00
1,John Smith,2026-01-07,17:00:00
2,Emma Johnson,2026-01-07,08:00:00
2,Emma Johnson,2026-01-07,17:00:00
1,John Smith,2026-01-08,08:00:00
1,John Smith,2026-01-08,17:00:00
1,John Smith,2026-01-09,08:00:00
1,John Smith,2026-01-09,17:00:00
2,Emma Johnson,2026-01-09,08:00:00
2,Emma Johnson,2026-01-09,17:00:00
1,John Smith,2026-01-10,10:00:00
1,John Smith,2026-01-10,14:00:00
2,Emma Johnson,2026-01-10,08:00:00
2,Emma Johnson,2026-01-10,17:00:00
1,John Smith,2026-01-12,08:00:00
1,John Smith,2026-01-12,17:00:00
2,Emma Johnson,2026-01-12,08:00:00
2,Emma Johnson,2026-01-12,17:00:00
1,John Smith,2026-01-13,08:00:00
1,John Smith,2026-01-13,17:00:00
2,Emma Johnson,2026-01-13,08:00:00
2,Emma Johnson,2026-01-13,17:00:00
1,John Smith,2026-01-14,08:00:00
1,John Smith,2026-01-14,17:00:00
2,Emma Johnson,2026-01-14,11:00:00
2,Emma Johnson,2026-01-14,14:30:00
1,John Smith,2026-01-15,08:00:00
1,John Smith,2026-01-15,17:00:00
2,Emma Johnson,2026-01-15,08:00:00
2,Emma Johnson,2026-01-15,17:00:00
1,John Smith,2026-01-16,08:00:00
1,John Smith,2026-01-16,17:00:00
2,Emma Johnson,2026-01-16,08:00:00
2,Emma Johnson,2026-01-16,17:00:00
1,John Smith,2026-01-17,08:00:00
1,John Smith,2026-01-17,17:00:00
2,Emma Johnson,2026-01-17,08:00:00
2,Emma Johnson,2026-01-17,17:00:00
1,John Smith,2026-01-19,08:00:00
1,John Smith,2026-01-19,17:00:00
2,Emma Johnson,2026-01-19,08:00:00
2,Emma Johnson,2026-01-19,17:00:00
1,John Smith,2026-01-20,08:00:00
1,John Smith,2026-01-20,17:00:00
1,John Smith,2026-01-21,08:00:00
1,John Smith,2026-01-21,17:00:00
2,Emma Johnson,2026-01-21,08:00:00
2,Emma Johnson,2026-01-21,17:00:00
1,John Smith,2026-01-22,10:00:00
1,John Smith,2026-01-22,14:00:00
2,Emma Johnson,2026-01-22,08:00:00
2,Emma Johnson,2026-01-22,17:00:00
1,John Smith,2026-01-23,08:00:00
1,John Smith,2026-01-23,17:00:00
2,Emma Johnson,2026-01-23,08:00:00
2,Emma Johnson,2026-01-23,17:00:00
1,John Smith,2026-01-24,08:00:00
1,John Smith,2026-01-24,17:00:00
2,Emma Johnson,2026-01-24,08:00:00
2,Emma Johnson,2026-01-24,17:00:00
1,John Smith,2026-01-25,09:00:00
1,John Smith,2026-01-25,16:00:00
2,Emma Johnson,2026-01-25,09:00:00
2,Emma Johnson,2026-01-25,16:00:00
2,Emma Johnson,2026-01-26,08:00:00
2,Emma Johnson,2026-01-26,17:00:00
1,John Smith,2026-01-27,08:00:00
1,John Smith,2026-01-27,17:00:00
2,Emma Johnson,2026-01-27,11:00:00
2,Emma Johnson,2026-01-27,14:30:00
1,John Smith,2026-01-28,08:00:00
1,John Smith,2026-01-28,17:00:00
2,Emma Johnson,2026-01-28,08:00:00
2,Emma Johnson,2026-01-28,17:00:00
1,John Smith,2026-01-29,08:00:00
1,John Smith,2026-01-29,17:00:00
2,Emma Johnson,2026-01-29,08:00:00
2,Emma Johnson,2026-01-29,17:00:00
1,John Smith,2026-01-30,08:00:00
1,John Smith,2026-01-30,17:00:00
2,Emma Johnson,2026-01-30,08:00:00
2,Emma Johnson,2026-01-30,17:00:00
1,John Smith,2026-01-31,08:00:00
1,John Smith,2026-01-31,17:00:00
2,Emma Johnson,2026-01-31,08:00:00
2,Emma Johnson,2026-01-31,17:00:00
